"","V85","V86","V87","V88","V89","V227","V211","V214","V248","V191","V242","V240","V141","C_COW_ALPHA","V84","V103","V29","V28","V25","V30","V32","V34","V35","V116","V115","V227.1","V229","V191.1","V248.1","V118","V115.1","V105"
"34414",3,3,3,3,3,3,1,1,7,3,19,1,NA,"JPN",3,2,0,0,0,0,0,0,0,3,3,3,1,3,7,NA,3,3
"34415",NA,NA,3,3,NA,3,NA,2,9,4,19,1,5,"JPN",3,2,0,0,0,0,0,0,0,3,3,3,6,4,9,3,3,3
"34416",NA,NA,NA,NA,NA,3,NA,2,9,2,19,2,NA,"JPN",3,3,0,0,0,0,0,0,0,NA,NA,3,6,2,9,NA,NA,3
"34417",2,3,3,3,3,3,2,2,8,4,19,2,NA,"JPN",2,2,0,0,0,0,0,0,0,2,2,3,6,4,8,2,2,3
"80834",3,3,3,3,3,2,4,2,7,1,61,2,5,"UKR",3,1,0,0,1,0,2,0,0,2,2,2,4,1,7,2,2,3
"80835",2,3,1,3,3,1,2,1,6,4,73,2,4,"UKR",2,2,0,0,0,0,0,0,0,3,2,1,4,4,6,2,2,2
"80836",3,3,1,2,2,1,1,1,7,1,64,2,3,"UKR",3,2,0,1,0,0,0,0,0,3,3,1,4,1,7,2,3,3
"80837",3,3,3,3,3,1,1,1,7,1,78,2,3,"UKR",2,1,0,0,0,0,0,0,0,2,3,1,4,1,7,2,3,3
"80838",3,3,3,3,3,1,2,1,6,2,76,2,2,"UKR",3,3,0,0,0,0,0,0,0,4,3,1,4,2,6,3,3,4
"80839",2,3,3,3,3,1,2,1,5,2,75,2,1,"UKR",2,3,0,0,0,0,0,0,0,3,4,1,4,2,5,3,4,3
"80840",3,3,3,3,3,1,1,2,5,4,74,2,1,"UKR",2,1,0,0,2,0,0,0,0,3,3,1,4,4,5,2,3,2
"80841",3,3,3,3,3,2,2,2,5,3,65,2,5,"UKR",4,1,0,0,0,0,0,0,0,2,2,2,1,3,5,2,2,4
"80842",3,3,3,3,3,2,1,2,6,3,76,2,5,"UKR",3,3,0,0,0,0,0,0,0,3,3,2,4,3,6,3,3,3
"80843",3,3,3,3,3,1,2,1,6,4,74,2,5,"UKR",3,2,0,0,0,0,0,0,0,2,2,1,4,4,6,2,2,4
"80844",3,3,3,3,3,2,1,1,6,2,60,2,5,"UKR",4,3,0,0,0,0,0,0,0,3,1,2,4,2,6,2,1,4
"80845",3,3,3,3,3,1,2,1,2,1,60,2,6,"UKR",2,1,0,0,1,0,0,0,0,3,4,1,4,1,2,4,4,4
"80846",3,3,3,3,3,1,4,1,5,2,66,2,6,"UKR",3,3,0,0,1,0,0,0,0,4,3,1,4,2,5,3,3,3
"80847",3,3,3,3,3,2,2,1,5,1,60,2,1,"UKR",3,4,0,0,0,0,0,0,0,3,4,2,4,1,5,3,4,4
"80848",3,3,3,3,3,3,2,1,2,1,75,2,1,"UKR",2,2,0,0,0,0,0,0,0,4,4,3,4,1,2,4,4,2
"80849",2,3,3,3,3,1,1,1,7,1,62,2,1,"UKR",3,2,0,0,0,0,0,0,1,4,4,1,4,1,7,3,4,2
"80850",2,3,3,3,3,1,1,1,9,1,65,2,1,"UKR",3,2,0,0,0,0,0,0,2,4,4,1,4,1,9,3,4,2
"80851",2,3,2,3,3,1,2,1,9,1,64,2,1,"UKR",2,2,0,0,0,0,0,0,0,4,4,1,1,1,9,4,4,2
"80852",3,3,3,3,3,1,1,1,6,3,71,2,5,"UKR",3,1,0,0,0,0,0,0,0,4,4,1,4,3,6,4,4,3
"80853",3,3,3,3,3,1,2,1,6,3,75,2,9,"UKR",3,1,0,0,0,0,0,0,0,3,3,1,4,3,6,3,3,3
"80854",3,3,3,3,3,1,2,1,5,2,73,2,3,"UKR",3,1,0,0,1,0,0,0,0,3,3,1,4,2,5,3,3,4
"80855",3,3,3,3,3,2,1,1,6,3,70,2,5,"UKR",4,2,0,0,0,0,0,0,0,3,3,2,4,3,6,2,3,4
"80856",3,3,3,3,3,2,3,1,6,4,69,2,5,"UKR",4,3,0,0,0,0,0,0,0,1,1,2,4,4,6,1,1,4
"80857",3,3,3,3,3,1,2,1,6,3,65,2,7,"UKR",3,3,0,0,0,0,0,0,0,3,3,1,4,3,6,2,3,3
"80858",3,3,3,3,3,1,1,1,6,1,71,2,6,"UKR",3,1,0,0,0,0,0,0,0,3,3,1,4,1,6,2,3,2
"80859",3,3,2,3,3,1,1,2,7,2,60,2,3,"UKR",3,1,0,0,0,0,0,0,0,3,4,1,1,2,7,2,4,2
"80860",3,3,3,3,3,1,1,1,7,2,83,2,1,"UKR",2,2,0,0,0,0,0,0,0,2,3,1,5,2,7,2,3,1
"80861",3,3,3,3,3,1,4,4,2,NA,74,2,6,"UKR",4,1,0,0,1,0,0,0,0,3,3,1,4,NA,2,3,3,3
"80862",3,3,3,3,3,1,2,1,6,2,83,2,5,"UKR",2,1,0,0,0,0,0,0,0,2,2,1,4,2,6,2,2,2
"80863",3,3,3,3,3,2,2,1,5,2,60,2,1,"UKR",2,2,0,0,0,0,0,0,0,2,3,2,4,2,5,3,3,2
"80864",3,3,3,3,3,1,1,1,6,2,60,2,6,"UKR",3,1,0,0,0,0,0,0,0,3,3,1,4,2,6,3,3,2
"80865",3,3,3,3,3,1,2,1,6,3,66,2,2,"UKR",3,2,0,0,1,0,0,0,0,4,3,1,4,3,6,4,3,4
"80866",3,3,3,3,3,1,5,4,5,1,64,2,5,"UKR",4,2,0,0,0,0,0,0,0,3,2,1,4,1,5,3,2,3
"80867",3,3,3,3,3,3,2,3,6,4,70,2,2,"UKR",2,3,0,0,1,0,0,0,0,3,3,3,4,4,6,3,3,3
"80868",3,3,3,3,3,1,5,2,9,4,72,2,5,"UKR",2,2,0,0,0,0,0,0,0,2,2,1,4,4,9,2,2,2
"80869",3,3,3,3,3,1,3,2,5,4,65,2,6,"UKR",2,3,0,0,0,0,0,0,0,2,2,1,4,4,5,2,2,2
"80870",3,1,3,3,1,2,2,1,5,1,72,2,5,"UKR",2,2,0,0,0,0,0,0,0,4,4,2,4,1,5,2,4,4
"80871",3,3,3,3,3,1,4,2,9,2,70,2,3,"UKR",4,2,0,0,0,0,0,0,0,4,4,1,4,2,9,2,4,4
"80872",3,3,3,3,3,3,2,1,5,2,77,2,5,"UKR",3,1,0,0,0,0,0,0,0,3,3,3,4,2,5,2,3,2
"80873",3,3,3,3,3,1,1,1,7,2,84,2,5,"UKR",2,1,0,0,0,0,0,0,0,2,2,1,4,2,7,2,2,2
"80874",3,3,3,3,3,1,2,1,7,2,77,2,6,"UKR",3,1,0,0,0,0,0,0,0,3,3,1,4,2,7,2,3,2
"80875",3,3,3,3,3,1,2,1,9,2,66,2,2,"UKR",2,2,0,0,0,0,0,0,0,4,4,1,4,2,9,4,4,4
"80876",3,3,3,3,3,1,4,3,5,2,65,2,3,"UKR",2,3,0,0,0,0,0,0,0,4,4,1,4,2,5,3,4,4
"80877",3,3,3,3,3,1,4,2,2,1,74,2,6,"UKR",4,2,0,0,0,0,0,0,0,3,3,1,4,1,2,4,3,3
"80878",3,3,3,3,3,1,2,1,6,2,80,2,9,"UKR",4,2,0,0,0,0,0,0,0,3,2,1,4,2,6,2,2,2
"80879",3,3,3,3,3,1,2,1,5,1,68,2,5,"UKR",3,2,0,0,0,0,0,0,0,3,2,1,4,1,5,4,2,4
"80880",3,3,3,3,3,1,2,1,5,1,75,2,7,"UKR",3,2,0,0,1,0,0,0,0,3,2,1,4,1,5,3,2,4
